id,date,type,distance,moving_time,total_elevation_gain,average_speed,average_heartrate,max_heartrate,average_watts,weighted_average_watts,trainer,gear_id,distance_km,speed_kmh
16812039900,2025-12-22 00:00:00,root='Run',5834.4,1851,13.0,3.152,130.5,140.0,393.8,386.0,False,g25150502,5.8344,11.3472
16779289382,2025-12-18 00:00:00,root='VirtualRide',35166.6,3161,330.0,11.125,150.3,169.0,300.0,311.0,False,b7688713,35.166599999999995,40.050000000000004
16769767510,2025-12-17 00:00:00,root='Run',6598.1,1968,15.0,3.353,136.5,157.0,422.8,417.0,False,g25150502,6.5981000000000005,12.0708
16752166144,2025-12-15 00:00:00,root='VirtualRide',37384.9,4239,604.0,8.819,122.0,142.0,229.8,235.0,False,b7688713,37.3849,31.748400000000004
16740089013,2025-12-14 00:00:00,root='Run',12500.6,4152,64.0,3.011,128.7,141.0,381.2,365.0,False,g25150502,12.5006,10.8396
16730937440,2025-12-13 00:00:00,root='Ride',62201.4,7449,113.0,8.35,126.3,148.0,241.9,245.0,False,b12356755,62.2014,30.06
16716242153,2025-12-11 00:00:00,root='VirtualRide',35263.2,3947,292.0,8.934,131.4,153.0,249.3,266.0,False,b7688713,35.2632,32.1624
16706229978,2025-12-10 00:00:00,root='Run',8381.8,2426,16.0,3.455,141.5,160.0,431.7,441.0,False,g25150502,8.3818,12.438
16696533811,2025-12-09 00:00:00,root='VirtualRide',45530.3,4548,233.0,10.011,126.8,145.0,242.2,250.0,False,b7688713,45.530300000000004,36.0396
16677981909,2025-12-07 00:00:00,root='VirtualRide',73134.6,7337,462.0,9.968,122.1,134.0,230.9,234.0,False,b7688713,73.1346,35.8848
16665850768,2025-12-06 00:00:00,root='Run',10053.6,2977,26.0,3.377,138.4,175.0,410.6,408.0,False,g27578635,10.053600000000001,12.1572
16651424501,2025-12-04 00:00:00,root='VirtualRide',37254.6,3636,168.0,10.246,134.9,159.0,260.5,283.0,False,b7688713,37.254599999999996,36.885600000000004
16642461819,2025-12-03 00:00:00,root='VirtualRide',32298.9,3654,406.0,8.839,120.2,132.0,234.5,237.0,False,b7688713,32.2989,31.820400000000003
16631178026,2025-12-02 00:00:00,root='Run',12241.7,3659,33.0,3.346,145.9,171.0,418.0,419.0,False,g19996876,12.241700000000002,12.0456
16611374628,2025-11-30 00:00:00,root='Ride',42656.3,5606,126.0,7.609,,,208.3,225.0,False,b12356755,42.6563,27.392400000000002
16602351050,2025-11-29 00:00:00,root='VirtualRide',42153.9,4215,242.0,10.001,129.0,146.0,244.7,254.0,False,b7688713,42.1539,36.0036
16593147805,2025-11-28 00:00:00,root='VirtualRide',36584.4,3952,463.0,9.257,117.0,135.0,218.6,225.0,False,b7688713,36.5844,33.3252
16585159259,2025-11-27 00:00:00,root='Run',10022.8,3164,23.0,3.168,135.3,147.0,397.7,390.0,False,g25150502,10.0228,11.404800000000002
16564037697,2025-11-25 00:00:00,root='VirtualRide',33355.9,3058,123.0,10.908,141.4,179.0,265.0,292.0,False,b7688713,33.3559,39.2688
16541529713,2025-11-23 00:00:00,root='Ride',8725.3,1212,42.0,7.199,,,206.9,218.0,False,b12356755,8.725299999999999,25.9164
16540986609,2025-11-23 00:00:00,root='Ride',42007.3,5231,159.0,8.03,,,296.0,315.0,False,b12356755,42.0073,28.907999999999998
16540248956,2025-11-23 00:00:00,root='Ride',6049.6,972,25.0,6.224,,,247.2,261.0,False,b12356755,6.049600000000001,22.4064
16532455288,2025-11-22 00:00:00,root='VirtualRide',34405.1,3956,589.0,8.697,118.8,129.0,211.7,216.0,False,b7688713,34.4051,31.309199999999997
16526319841,2025-11-21 00:00:00,root='Run',7680.4,2401,18.0,3.199,136.1,150.0,392.9,387.0,False,g25150502,7.6804,11.516399999999999
16507627766,2025-11-19 00:00:00,root='VirtualRide',47286.4,4849,427.0,9.752,128.9,155.0,242.7,256.0,False,b7688713,47.2864,35.107200000000006
16497501999,2025-11-18 00:00:00,root='Run',10087.2,3202,15.0,3.15,131.1,147.0,384.4,387.0,False,g19996876,10.087200000000001,11.34
16474280923,2025-11-16 00:00:00,root='Ride',88434.1,10406,211.0,8.498,134.4,159.0,250.8,256.0,False,b12356755,88.4341,30.592799999999997
16466721509,2025-11-15 00:00:00,root='VirtualRide',21412.4,2430,210.0,8.812,119.8,132.0,228.3,232.0,False,b7688713,21.4124,31.7232
16459285485,2025-11-14 00:00:00,root='Run',6109.7,2013,7.0,3.035,128.2,139.0,367.2,356.0,False,g25150502,6.1097,10.926
16449466467,2025-11-13 00:00:00,root='VirtualRide',32118.2,3652,273.0,8.795,141.8,174.0,262.6,293.0,False,b7688713,32.1182,31.662
16428892773,2025-11-11 00:00:00,root='VirtualRide',33776.7,3625,314.0,9.318,129.4,151.0,242.9,251.0,False,b7688713,33.7767,33.5448
16416642450,2025-11-10 00:00:00,root='Run',6015.1,1934,9.0,3.11,129.0,142.0,390.3,383.0,False,g25150502,6.0151,11.196
16404083036,2025-11-09 00:00:00,root='Ride',52040.3,6551,122.0,7.944,113.5,130.0,172.5,179.0,False,b7688713,52.0403,28.5984
16404082867,2025-11-08 00:00:00,root='Ride',7737.8,1189,2.0,6.508,116.3,126.0,147.0,149.0,False,b12356755,7.7378,23.4288
16393897277,2025-11-08 00:00:00,root='Ride',51545.5,6027,94.0,8.552,162.6,180.0,299.0,310.0,False,b12356755,51.5455,30.7872
16404082882,2025-11-08 00:00:00,root='Ride',19209.4,2398,76.0,8.011,130.4,154.0,223.0,220.0,False,b12356755,19.209400000000002,28.839599999999997
16376573959,2025-11-06 00:00:00,root='Ride',49433.4,5493,30.0,8.999,121.7,133.0,212.1,213.0,False,b7688713,49.4334,32.3964
16370918914,2025-11-06 00:00:00,root='Ride',48197.7,5543,41.0,8.695,133.9,143.0,213.3,215.0,False,b7688713,48.1977,31.302000000000003
16366153807,2025-11-05 00:00:00,root='Run',8244.5,2427,20.0,3.397,149.3,179.0,429.0,439.0,False,g19996876,8.2445,12.229199999999999
16345175564,2025-11-03 00:00:00,root='VirtualRide',45250.0,4282,172.0,10.567,123.9,169.0,223.1,243.0,False,b7688713,45.25,38.0412
16330794595,2025-11-02 00:00:00,root='Ride',92005.3,10592,197.0,8.686,122.5,143.0,194.4,203.0,False,b7688713,92.0053,31.2696
16324047837,2025-11-01 00:00:00,root='Run',14196.4,4811,94.0,2.951,136.6,154.0,375.4,367.0,False,g25150502,14.196399999999999,10.6236
16261428659,2025-10-26 00:00:00,root='VirtualRide',78353.9,8114,1046.0,9.657,137.8,155.0,267.1,271.0,False,b7688713,78.3539,34.7652
16254414531,2025-10-25 00:00:00,root='Run',8891.4,2927,17.0,3.038,130.1,152.0,372.0,359.0,False,g25150502,8.891399999999999,10.9368
16250723167,2025-10-25 00:00:00,root='VirtualRide',50558.9,5299,384.0,9.541,120.7,133.0,229.3,226.0,False,b7688713,50.5589,34.3476
16242729607,2025-10-24 00:00:00,root='Ride',40177.8,5732,138.0,7.009,137.0,166.0,256.9,259.0,False,b12356755,40.177800000000005,25.232400000000002
16225423063,2025-10-22 00:00:00,root='VirtualRide',38018.7,3774,195.0,10.074,129.1,143.0,248.9,257.0,False,b7688713,38.018699999999995,36.2664
16214702649,2025-10-21 00:00:00,root='Run',8157.1,2600,14.0,3.137,135.7,146.0,388.6,388.0,False,g25150502,8.1571,11.2932
16189479003,2025-10-19 00:00:00,root='Ride',44515.9,5829,91.0,7.637,160.0,177.0,272.0,298.0,False,b12356755,44.5159,27.493199999999998
16172931973,2025-10-17 00:00:00,root='VirtualRide',40359.2,3789,195.0,10.652,118.0,127.0,218.6,220.0,False,b7688713,40.359199999999994,38.3472
16151110352,2025-10-15 00:00:00,root='Ride',42526.0,5845,65.0,7.276,137.5,161.0,268.1,274.0,False,b12356755,42.526,26.1936
16139881482,2025-10-14 00:00:00,root='Run',7772.0,2441,5.0,3.184,134.7,161.0,394.2,394.0,False,g19996876,7.772,11.4624
16130698698,2025-10-13 00:00:00,root='VirtualRide',30643.6,3752,522.0,8.167,127.1,156.0,242.1,256.0,False,b7688713,30.6436,29.4012
16120160256,2025-10-12 00:00:00,root='Sail',7000.4,3912,3.4,1.789,76.0,110.0,,,False,,7.0004,6.4403999999999995
16113318727,2025-10-12 00:00:00,root='Run',5552.8,1807,14.0,3.073,132.4,144.0,377.5,375.0,False,g19996876,5.5528,11.0628
16104731622,2025-10-11 00:00:00,root='Sail',6799.6,4197,10.8,1.62,76.1,114.0,,,False,,6.799600000000001,5.832000000000001
16087727760,2025-10-09 00:00:00,root='Ride',50995.7,5856,30.0,8.708,125.3,154.0,224.8,239.0,False,b7688713,50.9957,31.3488
16082188954,2025-10-09 00:00:00,root='Ride',46547.2,4937,36.0,9.428,131.6,162.0,218.3,222.0,False,b7688713,46.5472,33.9408
16065232667,2025-10-07 00:00:00,root='Run',8282.6,2611,9.0,3.172,138.8,164.0,388.4,384.0,False,g19996925,8.2826,11.4192
16039806269,2025-10-05 00:00:00,root='VirtualRide',52293.6,5430,466.0,9.63,127.7,159.0,234.6,253.0,False,b7688713,52.2936,34.668000000000006
16033095185,2025-10-04 00:00:00,root='VirtualRide',41015.0,3861,199.0,10.623,121.8,133.0,229.6,231.0,False,b7688713,41.015,38.242799999999995
16022057186,2025-10-03 00:00:00,root='Run',7470.5,2142,19.0,3.488,150.1,175.0,429.3,437.0,False,g19996876,7.4705,12.5568
16000994625,2025-10-01 00:00:00,root='Ride',49217.8,5260,29.0,9.357,134.3,168.0,233.3,246.0,False,b7688713,49.217800000000004,33.6852
15995047744,2025-10-01 00:00:00,root='Ride',48481.3,5676,45.0,8.541,126.9,138.0,214.0,211.0,False,b7688713,48.481300000000005,30.747600000000002
15977629750,2025-09-29 00:00:00,root='Run',8155.5,2599,2.0,3.138,133.0,146.0,385.2,382.0,False,g25150502,8.1555,11.2968
15962831619,2025-09-28 00:00:00,root='Ride',86971.4,9985,125.0,8.71,126.4,146.0,199.2,202.0,False,b7688713,86.97139999999999,31.356000000000005
15944739018,2025-09-26 00:00:00,root='Run',8718.5,2625,8.0,3.321,140.5,159.0,406.2,398.0,False,g19996876,8.7185,11.9556
