timepoint,time,moving,watts
985,1118,True,121
986,1119,True,101
987,1120,True,106
988,1121,True,113
989,1122,True,90
990,1123,True,86
991,1124,True,85
992,1125,True,81
993,1126,True,82
994,1127,True,89
995,1128,True,83
996,1129,True,83
997,1130,True,97
998,1131,True,85
999,1132,True,91
1000,1133,True,99
1001,1134,True,91
1002,1135,True,78
1003,1136,True,82
1004,1137,True,85
1005,1138,True,86
1006,1139,True,92
1007,1140,True,95
1008,1141,True,94
1009,1142,True,104
1010,1143,True,110
1011,1144,True,107
1012,1145,True,110
1013,1146,True,116
1014,1147,True,117
1015,1148,True,115
1016,1149,True,121
1017,1150,True,121
1018,1151,True,126
1019,1152,True,131
1020,1153,True,133
1021,1154,True,134
1022,1155,True,115
1023,1156,True,114
1024,1157,True,114
1025,1158,True,110
1026,1159,True,115
1027,1160,True,115
1028,1161,True,106
1029,1162,True,106
1030,1163,True,111
1031,1164,True,113
1032,1165,True,112
1033,1166,True,88
1034,1167,True,86
1035,1168,True,93
1036,1169,True,96
1037,1170,True,102
1038,1171,True,106
1039,1172,True,102
1040,1173,True,109
1041,1174,True,104
1042,1175,True,104
1043,1176,True,110
1044,1177,True,122
1045,1178,True,108
1046,1179,True,104
1047,1180,True,109
1048,1181,True,110
1049,1182,True,112
1050,1183,True,92
1051,1184,True,96
1052,1185,True,107
1053,1186,True,116
1054,1187,True,118
1055,1188,True,119
1056,1189,True,106
1057,1190,True,109
1058,1191,True,118
1059,1192,True,125
1060,1193,True,121
1061,1194,True,134
1062,1195,True,131
1063,1196,True,125
1064,1197,True,137
1065,1198,True,121
1066,1199,True,138
1067,1200,True,141
1068,1201,True,126
1069,1202,True,126
1070,1203,True,85
1071,1204,True,98
1072,1205,True,103
1073,1206,True,103
1074,1207,True,119
1075,1208,True,118
1076,1209,True,109
1077,1210,True,107
1078,1211,True,110
1079,1212,True,124
1080,1213,True,106
1081,1214,True,122
1082,1215,True,119
1083,1216,True,102
1084,1217,True,112
1085,1218,True,106
1086,1219,True,109
1087,1220,True,113
1088,1221,True,101
1089,1222,True,104
1090,1223,True,91
1091,1224,True,66
1092,1225,True,96
1093,1226,True,108
1094,1227,True,107
1095,1228,True,90
1096,1229,True,84
1097,1230,True,81
1098,1231,True,106
1099,1232,True,115
1100,1233,True,116
1101,1234,True,115
1102,1235,True,103
1103,1236,True,103
1104,1237,True,99
1105,1238,True,91
1106,1239,True,74
1107,1240,True,100
1108,1241,True,107
1109,1242,True,107
1110,1243,True,102
1111,1244,True,108
1112,1245,True,122
1113,1246,True,122
1114,1247,True,110
1115,1248,True,111
1116,1249,True,121
1117,1250,True,121
1118,1251,True,112
1119,1252,True,96
1120,1253,True,101
1121,1254,True,114
1122,1255,True,119
1123,1256,True,119
1124,1257,True,121
1125,1258,True,138
1126,1259,True,138
1127,1260,True,136
1128,1261,True,125
1129,1262,True,121
1130,1263,True,129
1131,1264,True,128
1132,1265,True,125
1133,1266,True,113
1134,1267,True,109
1135,1268,True,102
1136,1269,True,101
1137,1270,True,97
1138,1271,True,92
1139,1272,True,103
1140,1273,True,97
1141,1274,True,97
1142,1275,True,101
1143,1276,True,90
1144,1277,True,85
1145,1278,True,105
1146,1279,True,103
1147,1280,True,102
1148,1281,True,101
1149,1282,True,98
1150,1283,True,102
1151,1284,True,93
1152,1285,True,86
1153,1286,True,87
1154,1287,True,106
1155,1288,True,93
1156,1289,True,86
1157,1290,True,88
